source	stage	diagnostic
Collections/AOL/Arts.Graphics/VISIONEFFECTS.2.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Educational/Math/MAGICSQUARES.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Educational/Math/SMART.REGISTER.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Educational/Math/TRIFAC1.0.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Educational/Math/HICKORY.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Educational/StudioWare/BEATLESDEMO.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Educational/Skillbuilding/MAP.READING.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Games/Arcadia/solarian.shk	archive	ShrinkIt extraction failed
Collections/AOL/Games/Arcadia/gstanks.shk	archive	ShrinkIt extraction failed
Collections/AOL/Games/Arcadia/c2jewel8.shk	archive	ShrinkIt extraction failed
Collections/AOL/Games/Arcadia/trailblz.shk	archive	ShrinkIt extraction failed
Collections/AOL/Games/Arcadia/ferno2.shk	archive	ShrinkIt extraction failed
Collections/AOL/Games/Arcadia/spyhunt.shk	archive	ShrinkIt extraction failed
Collections/AOL/Games/Arcadia/sensei.shk	archive	ShrinkIt extraction failed
Collections/AOL/Games/Arcadia/mmm.shk	archive	ShrinkIt extraction failed
Collections/AOL/Games/Arcadia/elevator.shk	archive	ShrinkIt extraction failed
Collections/AOL/Games/Arcadia/alien.shk	archive	ShrinkIt extraction failed
Collections/AOL/Games/Arcadia/c2jewels.shk	archive	ShrinkIt extraction failed
Collections/AOL/Games/War.Strategy/warpzs.shk	archive	ShrinkIt extraction failed
Collections/AOL/Games/War.Strategy/HOMGAMES/khafji.shk	archive	ShrinkIt extraction failed
Collections/AOL/Games/War.Strategy/tictac.shk	archive	ShrinkIt extraction failed
Collections/AOL/Games/War.Strategy/qhoard.shk	archive	ShrinkIt extraction failed
Collections/AOL/Games/War.Strategy/COLJEWEL.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Games/Adv./Roleplay/escape1.shk	archive	ShrinkIt extraction failed
Collections/AOL/Games/Mean18.Courses/DORAL.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Games/Mean18.Courses/ISLESXU.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Games/Mean18.Courses/COORS.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Games/Mean18.Courses/MARLTON.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Games/Mean18.Courses/NORWOOD.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Games/Mean18.Courses/PALMER.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Games/Mean18.Courses/FTSILL.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Games/Mean18.Courses/Walden.shk	archive	ShrinkIt extraction failed
Collections/AOL/Games/Mean18.Courses/BAYTREE.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Games/Mean18.Courses/BOBHOPE.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Games/Mean18.Courses/PAR3.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Games/Mean18.Courses/ASTOW.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Games/Mean18.Courses/PAWNEE.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Games/Mean18.Courses/AMAZON.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Games/Mean18.Courses/URBAN.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Games/Mean18.Courses/HYLANDXU.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Games/Mean18.Courses/APPLE.SHK	archive	ShrinkIt extraction failed
Collections/AOL/Games/Mean18.Courses/Water.shk	archive	ShrinkIt extraction failed
Collections/AOL/Games/Mean18.Courses/FLUID.SHK	archive	ShrinkIt extraction failed
Collections/SkunkWorks/GSGraphicsSound/ESA.MOD.SHK	archive	ShrinkIt extraction failed
Collections/SkunkWorks/GSGraphicsSound/MBROT21.SHK	archive	ShrinkIt extraction failed
Collections/SkunkWorks/GSDevelopment/GIFVIEW.SRC.SHK	archive	ShrinkIt extraction failed
Collections/SkunkWorks/TechnicalNotes/TN.IIGS.SHK	archive	ShrinkIt extraction failed
Collections/SkunkWorks/BBS/ECLIPSE.SHK	archive	ShrinkIt extraction failed
Collections/SkunkWorks/GSGames/OIL.LANDER.SHK	archive	ShrinkIt extraction failed
Collections/ProgrammerAids/ARCHI.8.SHK	archive	ShrinkIt extraction failed
Collections/1WSW/PEEKS.POKES.SHK	archive	ShrinkIt extraction failed
Collections/1WSW/HDB2.DA.SHK	archive	ShrinkIt extraction failed
Collections/1WSW/POV.GS/pov.exe.SHK	archive	ShrinkIt extraction failed
Collections/1WSW/NTP.SRCLIB.SHK	archive	ShrinkIt extraction failed
Collections/1WSW/Games4.SHK	archive	ShrinkIt extraction failed
Collections/1WSW/MARS.SHK	archive	ShrinkIt extraction failed
Collections/1WSW/TTFonts/Internat.SHK	archive	ShrinkIt extraction failed
Collections/1WSW/TTFonts/RCA.SHK	archive	ShrinkIt extraction failed
Collections/1WSW/NTGSv2S.SHK	archive	ShrinkIt extraction failed
Collections/1WSW/NTGSt2P.SHK	archive	ShrinkIt extraction failed
Collections/1WSW/Inform5.5GS.shk	archive	ShrinkIt extraction failed
Collections/1WSW/BW.src.SHK	archive	ShrinkIt extraction failed
Collections/1WSW/ProgrammerAids/ARCHI.8.SHK	archive	ShrinkIt extraction failed
Collections/1WSW/GS.WorldView/PYTHON.GS/Python.Docs.shk	archive	ShrinkIt extraction failed
Collections/1WSW/SPACERQUEST.SHK	archive	ShrinkIt extraction failed
Collections/1WSW/TAB16.NDA.SHK	archive	ShrinkIt extraction failed
Collections/1WSW/JPEGSC3.SHK!run.time.zip	archive	archive extraction failed
Collections/1WSW/RARE.GS.GAMES/Mastermind.SHK	archive	ShrinkIt extraction failed
Collections/1WSW/SPS.SHK	archive	ShrinkIt extraction failed
Collections/1WSW/SAGSv2.2.SHK	archive	ShrinkIt extraction failed
